Topic,Count,Name,Representation,Representative_Docs
105,146,105_great again_america great_america_great,"['great again', 'america great', 'america', 'great', 'make america', 'again', 'make', 'making america', 'to make', 'making']","[""but he said he'd make america great again..."", 'he wants to make america great again', '""make america great again"" he says.']"
106,142,106_hole_the hole_hole in_hole he,"['hole', 'the hole', 'hole in', 'hole he', 'his hole', 'in one', 'hole is', 'horizontal hole', 'horizontal', 'hole and']","['he sold the hole.', 'he fought the hole and the hole won.', 'he wants to reinvent the hole.']"
107,141,107_phone_app_iphone_his phone,"['phone', 'app', 'iphone', 'his phone', 'cell', 'cell phone', 'his cell', 'phone he', 'wifi', 'his iphone']","[""no, he's not on his cell phone."", 'he said he dropped his cell phone.', 'he forgot his cell phone.']"
108,140,108_vertically_challenged_angle_vertically challenged,"['vertically', 'challenged', 'angle', 'vertically challenged', 'sideways', 'vertical', 'landscape', 'horizontal', 'rotate', 'in landscape']","[""i take it back -- he's *not* vertically challenged."", ""he's vertically challenged."", ""he's not vertically challenged.""]"
109,139,109_tie_his tie_that tie_wearing,"['tie', 'his tie', 'that tie', 'wearing', 'tie is', 'tie he', 'the tie', 'tie was', 'too long', 'trump tie']","['his tie was too long.', ""i don't like his tie."", 'i like his tie']"
110,138,110_john_john is_doe_john doe,"['john', 'john is', 'doe', 'john doe', 'the john', 'wheel john', 'john glenn', 'john john', 'john he', 'donne']","['doe? john doe?', 'it was john doe you wanted?', 'john doe is next.']"
111,138,111_noah_ark_noah ark_noah noah,"['noah', 'ark', 'noah ark', 'noah noah', 'for noah', 'the ark', 'to noah', 'is noah', 'flood', 'noah and']","['are you noah?', ""i'm looking for noah."", 'noah called.']"
112,138,112_vegan_vegetarian_vegan don_kosher,"['vegan', 'vegetarian', 'vegan don', 'kosher', 'the vegan', 'vegans', 'organic', 'don worry', 'worry', 'diet']","[""don't worry, it's vegan."", ""don't worry, it's vegan."", ""don't worry, it's vegan.""]"
113,138,113_climbing_rock climbing_mountain_rock,"['climbing', 'rock climbing', 'mountain', 'rock', 'climb', 'the mountain', 'climber', 'virtual', 'mime', 'virtual rock']","['its virtual rock climbing of course !', ""it's virtual rock climbing"", ""i couldn't afford virtual rock climbing. this is pretend rock climbing.""]"
114,136,114_the big_big_me the_told him,"['the big', 'big', 'me the', 'told him', 'give me', 'big told', 'me big', 'to give', 'big he', 'told']","[""he says he's finally going to give me 'the big o'."", ""i told him that i'm still waiting for him to give me the 'big o'."", 'i told him i wanted him to give me the big o.']"
115,133,115_murphy_murphy bed_bed_murphy law,"['murphy', 'murphy bed', 'bed', 'murphy law', 'the murphy', 'mr murphy', 'law', 'me murphy', 'your bed', 'name murphy']","[""name's murphy, tom murphy. i invented the murphy bed."", ""murphy's law meets the murphy bed."", ""murphy's law not murphy bed!""]"
116,133,116_lion_lion king_the lion_king,"['lion', 'lion king', 'the lion', 'king', 'lions', 'him watch', 'watch', 'watching', 'watch the', 'king again']","[""you're watching the lion king?"", ""again with 'the lion king'?"", 'the lion king, again?']"
117,133,117_jack_sparrow_jack sparrow_jack be,"['jack', 'sparrow', 'jack sparrow', 'jack be', 'nimble', 'be nimble', 'nimble jack', 'calico', 'all work', 'work and']","['jack be nimble, jack be quick , jack jump over the wall street dick.', 'jack be nimble, jack be quick, jack be an idiot.', 'jack sparrow?']"
118,133,118_taste_eat_don taste_don eat,"['taste', 'eat', 'don taste', 'don eat', 'eat it', 'taste like', 'tastes', 'they', 'they don', 'taste as']","[""they don't taste the same anymore."", ""they don't taste as good as they used to."", ""people just don't taste like they used to.""]"
119,132,119_the box_box_outside the_outside,"['the box', 'box', 'outside the', 'outside', 'box he', 'think outside', 'thinking outside', 'thinking', 'to think', 'inside the']","[""here we don't think outside the box."", ""here we don't think outside the box."", ""he can't think outside the box.""]"
120,132,120_bee_bees_king bee_the bees,"['bee', 'bees', 'king bee', 'the bees', 'to bee', 'birds and', 'king', 'the birds', 'birds', 'honey']","[""i'm the king bee."", ""i'm king bee!"", ""i'm king bee!""]"
121,131,121_bob_bob he_that bob_bob is,"['bob', 'bob he', 'that bob', 'bob is', 'bob has', 'know bob', 'tell bob', 'bob said', 'his', 'bob don']","['bob is re- inventing himself again.', ""don't mind bob. he's just really into stocks."", ""bob said he was going to 're-invent' something.""]"
122,130,122_stocks_bonds_stocks and_bondage,"['stocks', 'bonds', 'stocks and', 'bondage', 'in stocks', 'and bonds', 'and bondage', 'bonds he', 'into stocks', 'in bonds']","['i knew he was into stocks and bonds, but stocks?', ""he's the new guy in stocks and bonds."", ""he's in stocks and bonds..""]"
123,129,123_shotgun_gun_riding shotgun_ride shotgun,"['shotgun', 'gun', 'riding shotgun', 'ride shotgun', 'riding', 'shotgun he', 'ride', 'to ride', 'call shotgun', 'did call']","[""don't worry. he's riding shotgun."", 'he likes to ride shotgun.', ""said he's riding shotgun.""]"
124,129,124_stock_option_stock option_stock options,"['stock', 'option', 'stock option', 'stock options', 'options', 'the stock', 'options he', 'option he', 'his stock', 'chose the']","['he took the stock option', 'he took the stock option', ""don't take the stock option.""]"
125,129,125_larry_larry is_larry and_larry always,"['larry', 'larry is', 'larry and', 'larry always', 'larry larry', 'you larry', 'larry you', 'larry works', 'again larry', 'larry it']","['this is chapter one of ""larry works from home"": \'larry works from home at work\'. chapter two is ""larry works from home.', 'then there was larry. larry smelled funny. i think it was rabies.', 'is that you, larry?']"
126,128,126_halo_halos_say about_what they,"['halo', 'halos', 'say about', 'what they', 'they say', 'big halos', 'size of', 'with big', 'angel', 'the size']","[""is it true what they say about the size of a man's halo?"", ""well, you know what they say about the size of a man's halo."", ""you know what they say about the size of a man's halo...""]"
127,126,127_plank_the plank_walk the_walk,"['plank', 'the plank', 'walk the', 'walk', 'walking the', 'walking', 'to walk', 'plank he', 'planking', 'him walk']","['i thought you told me he wanted to walk the plank.', 'we just wanted him to walk the plank.', 'i ordered him to walk the plank.']"
128,126,128_cat_king_king cat_at king,"['cat', 'king', 'king cat', 'at king', 'cat king', 'king of', 'cat may', 'may look', 'look at', 'can look']","['a cat may look at a king?', 'a cat may look at a king?', 'f king cat']"
129,122,129_mars_to mars_on mars_from mars,"['mars', 'to mars', 'on mars', 'from mars', 'venus', 'the mars', 'for mars', 'venus de', 'mars no', 'mars is']","[""just because you're training for a mars mission doesn't mean you have to cook like you're on mars."", 'off to mars!', ""i'm from mars.""]"
130,121,130_cabinet_trump cabinet_secretary_trump,"['cabinet', 'trump cabinet', 'secretary', 'trump', 'cabinet meeting', 'secretary of', 'administration', 'the trump', 'meeting', 'position']","['this must be a trump cabinet meeting.', 'welcome to the first trump cabinet meeting.', 'welcome to the trump cabinet...']"
131,121,131_gps_his gps_gps is_maps,"['gps', 'his gps', 'gps is', 'maps', 'google maps', 'the gps', 'google', 'gps he', 'your gps', 'map']","['i think his gps is off.', 'i don’t think his gps is working.', 'his gps is down.']"
132,121,132_husband_my husband_your husband_my,"['husband', 'my husband', 'your husband', 'my', 'husband is', 'husband you', 'married', 'model', 'for my', 'your']","['i think you want my husband.', 'you must be here for my husband.', ""i'll get my husband.""]"
133,120,133_umbrella_umbrellas_this umbrella_big umbrella,"['umbrella', 'umbrellas', 'this umbrella', 'big umbrella', 'trump umbrella', 'big', 'the umbrella', 'say about', 'big umbrellas', 'what they']","[""it's called the 'trump' umbrella."", ""it's a trump umbrella"", 'you know what they say about a man with a big umbrella...']"
134,120,134_mr president_president_mr_president what,"['mr president', 'president', 'mr', 'president what', 'you mr', 'president mr', 'what can', 'yes mr', 'president yes', 'can get']","['mr. president?', 'mr. president?', 'mr. president.']"
135,120,135_slipped_he slipped_fault_slip,"['slipped', 'he slipped', 'fault', 'slip', 'your fault', 'fault he', 'slipped and', 'slipped on', 'blame', 'you feel']","['how did you feel when he slipped?', ""he slipped. it's not your fault."", ""it's not your fault he slipped and on fell on you.""]"
136,120,136_jungle_the jungle_king of_king,"['jungle', 'the jungle', 'king of', 'king', 'of the', 'of', 'jungle but', 'concrete jungle', 'the king', 'concrete']","[""he thinks he's king of the jungle."", ""he thinks he's king of the jungle."", 'king of the jungle']"
137,118,137_bury_bury him_dead_buried,"['bury', 'bury him', 'dead', 'buried', 'he dead', 'dead when', 'got there', 'be buried', 'already dead', 'to bury']","['i know, i know, he was already dead when you got there.', 'remember, he was already dead when you got there.', 'he was already dead when you got there?']"
138,118,138_scratching_scratching post_post_leg,"['scratching', 'scratching post', 'post', 'leg', 'peg leg', 'peg', 'his leg', 'as scratching', 'post he', 'scratched']","['his leg doubles as a scratching post.', 'his leg doubles as a scratching post.', 'his peg leg doubles as a scratching post.']"
139,116,139_sales_quota_his sales_sales quota,"['sales', 'quota', 'his sales', 'sales quota', 'didn meet', 'marketing', 'missed his', 'quota again', 'his quota', 'in sales']","['he missed his sales quota.', ""he didn't make his sales quota."", ""didn't meet his sales quota .""]"
140,116,140_gold_the gold_silver_going for,"['gold', 'the gold', 'silver', 'going for', 'long john', 'john silver', 'gold he', 'john', 'bronze', 'long']","['long john silver is going for the gold!', ""he's going for the gold."", ""he's going for the gold.""]"
141,116,141_election_the election_until_after the,"['election', 'the election', 'until', 'after the', 'until after', 'hiding', 'here until', 'election he', 'hide', 'after']","[""he's hiding out here until after the election."", ""he's hiding here until after the election."", 'he’s hiding here until after the election.']"
142,116,142_putin_russian_russians_vladimir,"['putin', 'russian', 'russians', 'vladimir', 'the russians', 'with putin', 'russia', 'the russian', 'button', 'trump']","['putin was serious.', ""he said he liked putin, he didn't say putin liked him."", 'are you with putin']"
143,115,143_igor_sir igor_jeeves_mr igor,"['igor', 'sir igor', 'jeeves', 'mr igor', 'sir', 'igor is', 'agency', 'igor has', 'sent me', 'sent']","['sir, igor says you need a hand?', ""good evening, sir. i'm igor's replacement. the agency sent me."", ""i'm jeeves, sir. igor has the night off.""]"
144,115,144_swan_swan song_his swan_song,"['swan', 'swan song', 'his swan', 'song', 'swan dive', 'dive', 'his', 'is his', 'song he', 'dive is']","[""it's his swan song."", 'that swan dive is his swan song.', ""it's his swan dive swan song.""]"
145,115,145_anchor_anchors_the anchor_anchors away,"['anchor', 'anchors', 'the anchor', 'anchors away', 'anchor store', 'store', 'my boys', 'an anchor', 'away', 'his anchor']","[""of course the anchor's away, my boy!"", 'see, i told you, this is his anchor store.', 'he wants to be the anchor store for the mall']"
146,115,146_priest_rabbi_the priest_priest and,"['priest', 'rabbi', 'the priest', 'priest and', 'the rabbi', 'rabbi and', 'and the', 'and rabbi', 'bar', 'into bar']","['where is the rabbi and the priest?', ""where's the priest and the rabbi?"", ""where's the priest and the rabbi?""]"
147,115,147_mocking_funny_mocking us_they re,"['mocking', 'funny', 'mocking us', 'they re', 'laughing', 'flattery', 'humor', 'they', 'laughing at', 'us']","[""i'd say they're mocking us, but i don't see the porpoise."", ""i don't think they're laughing *at* you."", ""don't look now but i think they're mocking us again.""]"
148,114,148_island_an island_no man_man is,"['island', 'an island', 'no man', 'man is', 'is an', 'an', 'man', 'no', 'desert island', 'island no']","['no man is an island.', 'no man is an island...', 'no man is an island...']"
149,113,149_shark_sharks_shark tank_the sharks,"['shark', 'sharks', 'shark tank', 'the sharks', 'tank', 'sharks don', 'eating shark', 'man eating', 'on shark', 'the shark']","['my husband is going to be on shark tank.', ""i told him he's on shark tank"", ""the sharks don't care.""]"
150,110,150_on water_water_walk on_walk,"['on water', 'water', 'walk on', 'walk', 'can walk', 'on', 'walking on', 'he can', 'water he', 'water too']","[""at least he can't walk on water."", 'he can walk on water, too.', 'do you think he can walk on water?']"
151,110,151_books_the books_cook the_cook,"['books', 'the books', 'cook the', 'cook', 'to cook', 'cooking the', 'cooking', 'boss', 'books don', 'meant']","['do you really think this is what the boss meant when he asked me to cook the books?', 'i think he said cook the books...', 'are you sure he told you to cook the books?']"
152,109,152_contact lens_lens_glasses_contact,"['contact lens', 'lens', 'glasses', 'contact', 'blind', 'his contact', 'his glasses', 'lens he', 'lost', 'he lost']","[""i think it's time we tell him we found his contact lens."", 'i think he lost more than his contact lens.', 'after he lost his contact lens, he really got lost!']"
153,109,153_cannonball_cannon_cannon ball_cannonballs,"['cannonball', 'cannon', 'cannon ball', 'cannonballs', 'the cannonball', 'his cannonball', 'ball', 'do cannonball', 'the cannon', 'rosco']","['but can he do a cannonball?', 'i prefer his cannonball.', 'i prefer his cannonball.']"
154,108,154_desk_standing desk_standing_desk he,"['desk', 'standing desk', 'standing', 'desk he', 'desks', 'desk on', 'stand up', 'up desk', 'his standing', 'his desk']","['i hear he asked for a standing desk.', 'he asked for a standing desk.', 'he asked for a standing desk.']"
155,108,155_ted_ted talk_ted and_ted you,"['ted', 'ted talk', 'ted and', 'ted you', 'ted was', 'talk', 'think ted', 'my ted', 'you ted', 'ted is']","[""i see you've met ted..."", 'he got ted', 'after you, ted.']"
156,108,156_the wheel_wheel_reinvent the_reinvent,"['the wheel', 'wheel', 'reinvent the', 'reinvent', 'to reinvent', 'told him', 'wheel told', 'reinventing the', 'wheel so', 'told']","['i keep telling him, ""you don\'t need to reinvent the wheel.""', 'i keep telling him not to reinvent the wheel.', ""i told him he didn't have to reinvent the wheel.""]"
157,108,157_train_the train_trains_caboose,"['train', 'the train', 'trains', 'caboose', 'the trains', 'on time', 'of trains', 'fear of', 'run on', 'mr caboose']","[""i told him this wasn't the a train."", ""don't worry the d train is never on time."", 'he did say it was ""on the d-train"".']"
158,108,158_license_registration_license and_your license,"['license', 'registration', 'license and', 'your license', 'and registration', 'jetson', 'expired', 'see your', 'nasa', 'george jetson']","['your license and registration, mr. leno.', 'sir, may i see your pilot license and registration?', ""i don't care if your name is george jetson.license and registration please!""]"
159,107,159_tower_trump tower_trump_towers,"['tower', 'trump tower', 'trump', 'towers', 'trump towers', 'tower he', 'of trump', 'at trump', 'tower is', 'the trump']","[""look, it's the new trump tower!"", 'trump tower is the best!', 'welcome to trump tower.']"
160,107,160_joe_cup_ho_of joe,"['joe', 'cup', 'ho', 'of joe', 'cup of', 'yo ho', 'joe you', 'cup joe', 'and cup', 'ho ho']","['yo ho ho and a cup o\' joe; yo ho ho and a cup o\' joe...""', 'i wanted a cup of joe not a cup and joe', 'yo-ho-ho and a cup of joe!']"
161,106,161_the bush_bush_worth_bird on,"['the bush', 'bush', 'worth', 'bird on', 'bird', 'two in', 'is worth', 'worth two', 'two', 'in the']","['a bird on a gun is worth two in the bush?', 'a bird on the barrel is worth two in the bush.', 'a bird on the gun is worth two in the bush.']"
162,105,162_pirate_pirates_the pirate_pirates of,"['pirate', 'pirates', 'the pirate', 'pirates of', 'pirate he', 'louganis', 'piracy', 'the caribbean', 'caribbean', 'the pirates']","['pirate 1: ""i didn\'t think he\'d really do it."" pirate 2: ""yeah well it\'s trumps america now.""', 'his boss is a pirate', ""say what ya will, but he was a pirate's pirate - right up the end.""]"
163,104,163_mirage_the mirage_mirage he_is mirage,"['mirage', 'the mirage', 'mirage he', 'is mirage', 'just mirage', 'mirage or', 'his mirage', 'mirages', 'mirage and', 'mirage should']","['the man is the mirage.', 'wait. are we the mirage, or is he the mirage?', ""i don't think it is a mirage.""]"
164,104,164_subway_sandwiches_sandwich_the subway,"['subway', 'sandwiches', 'sandwich', 'the subway', 'we don', 'serve', 'subway sandwiches', 'sir we', 'don serve', 'footlong']","[""i'm sorry, we don't serve subway sandwiches."", ""sorry we don't serve subway sandwiches !"", ""no! we don't serve subway sandwiches.""]"
165,103,165_burning bush_burning_bush_the burning,"['burning bush', 'burning', 'bush', 'the burning', 'warm', 'bush it', 'that burning', 'bush is', 'need this', 'bush you']","['no thanks, the burning bush is enough.', ""isn't the burning bush enough?"", 'i miss the burning bush.']"
166,103,166_trump_it from_the trump_bumper,"['trump', 'it from', 'the trump', 'bumper', 'got it', 'at trump', 'sticker', 'bumper sticker', 'sale', 'it']","['i got it from trump tower.', 'i got it at trump tower', ""it's from the trump collection.""]"
167,101,167_green_going green_green he_little green,"['green', 'going green', 'green he', 'little green', 'green but', 'the green', 'going', 'green to', 'go green', 'bit green']","['i mean, he did say he was going green...', ""he's going green."", ""he's going green.""]"
168,100,168_ishmael_me ishmael_call_call me,"['ishmael', 'me ishmael', 'call', 'call me', 'him ishmael', 'call him', 'ishmael he', 'it ishmael', 'ishmeow', 'to call']","[""he's going to call him ishmael."", ""o.k.! you don't have to call me ishmael."", ""don't call me ishmael.""]"
169,99,169_billy_billy the_the kid_kid,"['billy', 'billy the', 'the kid', 'kid', 'me billy', 'catch billy', 'kid billy', 'doug', 'billy you', 'billy billy']","[""that's why they call me billy the kid."", 'to catch billy the kid, you have to think like billy the kid.', 'billy!']"
170,99,170_the bush_bush_two in_two,"['the bush', 'bush', 'two in', 'two', 'worth', 'in the', 'worth two', 'bush is', 'one on', 'in']","['is that worth two in the bush?', ""i hope he's worth two in the bush."", 'one in the hand is worth two in the bush.']"
171,99,171_your guy_my guy_guy_guy call,"['your guy', 'my guy', 'guy', 'guy call', 'have my', 'guy ll', 'have your', 'call', 'call your', 'call my']","[""i'll have my guy call your guy."", ""i'll have my guy call your guy."", ""i'll have my guy call your guy.""]"
172,98,172_roger_jolly_jolly roger_the jolly,"['roger', 'jolly', 'jolly roger', 'the jolly', 'roger is', 'that roger', 'roger that', 'roger and', 'roger ailes', 'ailes']","[""i'm going to miss jolly roger."", 'jolly roger...to the end.', 'what happens on the jolly roger stays on the jolly roger.']"
173,97,173_casual_friday_casual friday_fridays,"['casual', 'friday', 'casual friday', 'fridays', 'casual fridays', 'it casual', 'business casual', 'it friday', 'friday you', 'is casual']","['don’t tell me. it’s casual friday.', ""he thinks it's casual friday."", ""well, i don't care if it *is* casual friday.""]"
174,97,174_jerry_ben_blofeld_ben jerry,"['jerry', 'ben', 'blofeld', 'ben jerry', 'like jerry', 'you jerry', 'seinfeld', 'and jerry', 'jerry it', 'jerry is']","[""that's not jerry, is it? actually, yeah. i think that is jerry."", ""jerry's here."", ""jerry, it's for you.""]"
175,96,175_immigration_immigrants_immigration policy_deported,"['immigration', 'immigrants', 'immigration policy', 'deported', 'deport', 'trump', 'asylum', 'policy', 'deportation', 'illegal']","[""is this part of trump's new immigration policy?"", ""is this trump's new immigration policy?"", 'this must be the new trump immigration policy.']"
176,96,176_ringling_ringling brothers_brothers_about ringling,"['ringling', 'ringling brothers', 'brothers', 'about ringling', 'the ringling', 'ringling bros', 'bros', 'brothers is', 'from ringling', 'closed']","[""let me guess, 'ringling brothers'?"", 'he used to be with ringling brothers', 'ringling brothers?']"
177,93,177_hoodie_hood_the hoodie_hoodies,"['hoodie', 'hood', 'the hoodie', 'hoodies', 'the hood', 'that hoodie', 'hoodie you', 'your hoodie', 'hoodie is', 'hood don']","[""don't wear the hoodie. you'll scare people."", ""no, i don't think the hoodie was the problem."", 'mr. reaper, the hoodie is not helping.']"
178,92,178_horses_horse_these horses_their horses,"['horses', 'horse', 'these horses', 'their horses', 'horse ass', 'horses don', 'these', 'rocking', 'my horse', 'horses are']","[""they shoot horses, don't they?"", ""they shoot horses, don't they?"", ""don't worry, jeb. i reckon they bought their horses at the rocking horse ranch too.""]"
179,92,179_harry_wizard_the wizard_oz,"['harry', 'wizard', 'the wizard', 'oz', 'of oz', 'wizard of', 'potter', 'wizard harry', 'is harry', 'know harry']","['the remake of the ""wizard of oz""', 'i told you i didn\'t want to watch ""the wizard of oz.""', 'auditioning for the wizard of oz?']"
180,91,180_describe_describe him_you describe_he look,"['describe', 'describe him', 'you describe', 'he look', 'look like', 'what does', 'does he', 'can you', 'does', 'look']","['can you describe him for me?', 'could you describe him?', 'could you describe him?']"
181,89,181_never_he never_ll never_never could,"['never', 'he never', 'll never', 'never could', 'never did', 'was never', 'never make', 'never been', 'had never', 'could never']","['he never was one of us.', ""he'll never make it."", 'he never did get it']"
182,89,182_mustache_glasses_bald_beard,"['mustache', 'glasses', 'bald', 'beard', 'moustache', 'glasses and', 'balding', 'mustache and', 'and glasses', 'guy with']","['is he bald, with mustache and glasses?', ""did you say he's bald with a mustache and glasses?"", 'the bald guy, with the mustache and glasses? yeah, i see him.']"
183,88,183_monkey_monkeys_the monkey_monkey uncle,"['monkey', 'monkeys', 'the monkey', 'monkey uncle', 'monkey business', 'uncle', 'barrel', '33', 'business', 'barrel of']","['i said ""a monkey\'s uncle...a monkey\'s uncle...."" get it?', ""i am the monkey's uncle!"", 'why couldn\'t it be a barrel of chocolates? or cashmere scarves? or chippendale dancers?\r\n58,18,7,swingers parties aren\'t what they used to be.\r\n56,27,6,the sign at the zoo did say not to make eye contact.\r\n56,13,1,just one \'widdle\' smile?\r\n54,12,6,what monkey business?\r\n33,3,0,let\'s not monkey around!\r\n42,4,5,how about i get eleven typewriters and an agent?\r\n33,3,0,wineries have taken all their barrels.\r\n35,0,0,but i thought a barrel of monkeys would be fun.\r\n41,12,1,i\'m guessing the ones on the roof are why the internet is down.\r\n38,6,1,don\'t look at me. i didn\'t leave the barrel open this morning.\r\n38,8,0,so you\'re still miffed that i hid the remote in fruit bowl?\r\n87,33,16,do i see a hint of a smile....\r\n32,2,2,i thought brad pitt was in this.\r\n49,15,6,at least they don\'t bark\r\n40,10,1,it\'ll be better after they\'re house trained.\r\n60,19,7,now can we do the thing that\'s more fun?\r\n39,2,3,we\'re they on sale ?\r\n28,0,0,we should have remembered that george was a zookeeper before volunteering to babysit.\r\n29,8,0,i don\'t care how often you explain economies of scale to me. i didn\'t even want one monkey\r\n34,6,0,i feel like i have a monkey on my back.\r\n36,1,1,not my circus and definitely not my monkeys.\r\n39,7,2,i said it was hard finding prime mates!\r\n36,8,0,and you\'re sure the barrel had no return address?\r\n39,5,2,are you still mad that i threw the barrel out?\r\n31,0,1,...still insist on a no-plan b state?\r\n55,15,7,i wish i remembered who first told us about the monkey-a-month club.\r\n34,4,1,maybe you\'re not meditating enough.\r\n32,3,0,i told you not to take them our of the barrel.\r\n30,2,0,the barrel of monkeys was more fun.\r\n46,8,4,you\'re right. i never should have opened that barrel.\r\n49,3,7,this is your fault.\r\n30,1,0,we have got to talk him into learning to draw something else.\r\n29,0,0,you offered to babysit the grandkids.\r\n53,16,5,i wanted a corgi. but noooo.....\r\n33,0,0,the hebrew word kuf"" meant ""monkey"" before it meant ""eye of a needle"" because adam named the animals before eve began sewing fig leaves. (matthew 19:23-26)']"
184,88,184_dive_diving_diving team_team,"['dive', 'diving', 'diving team', 'team', 'olympic', 'dives', 'diver', 'to dive', 'an olympic', 'that dive']","['damn...we should have kept him for the diving team.', ""why wasn't he on our diving team?"", 'yes,, we should have placed him on the olympic diving team instead.']"
185,87,185_white_white male_male_privilege,"['white', 'white male', 'male', 'privilege', 'white men', 'white privilege', 'male privilege', 'were black', 'white man', 'black']","[""it's just for being a white male."", ""because i'm a white male!"", ""it's a white male.""]"
186,86,186_parachute_golden_golden parachute_his golden,"['parachute', 'golden', 'golden parachute', 'his golden', 'his parachute', 'the parachute', 'parachute he', 'parachute for', 'him golden', 'that golden']","[""he's practicing for his golden parachute."", ""look's like he forgot his golden parachute."", ""look's like he forgot his golden parachute.""]"
187,85,187_honey_me honey_call me_don call,"['honey', 'me honey', 'call me', 'don call', 'call', 'honey don', 'honey me', 'me', 'honey please', 'please don']","['""just don\'t call me honey"".', '""just don\'t call me honey"".', ""'' don't call me 'honey' ''""]"
188,85,188_profile_like your_your profile_picture,"['profile', 'like your', 'your profile', 'picture', 'profile picture', 'don look', 'look like', 'look', 'look anything', 'anything like']","[""you don't look anything like your profile picture."", 'you don’t look anything like your profile picture.', ""you don't look like your profile picture.""]"
189,85,189_ceo_the ceo_new ceo_our ceo,"['ceo', 'the ceo', 'new ceo', 'our ceo', 'ceo he', 'our', 'ceo is', 'the new', 'new', 'board']","['everyone except the ceo hates consultants. the ceo gets his way!', ""that's why he's the ceo."", 'he used to be the ceo.']"
190,84,190_tweets_tweet_tweeting_mr president,"['tweets', 'tweet', 'tweeting', 'mr president', 'trump', 'president', 'stop tweeting', 'trump tweets', 'trump tweeted', 'tweeted']","[""that's what you get for tweeting so much, mr. president."", 'i told you to stop tweeting, donald.', 'mr. president, you must stop tweeting so much']"
191,84,191_air_oxygen_the oxygen_the room,"['air', 'oxygen', 'the oxygen', 'the room', 'hot air', 'oxygen out', 'sucking', 'room', 'out of', 'room he']","['well, at least he is not sucking all the oxygen out of the room.', ""at least he doesn't suck all the air out of the room."", ""at least he doesn't suck all the air out of the room.""]"
192,84,192_uber_an uber_uber driver_driver,"['uber', 'an uber', 'uber driver', 'driver', 'uber pool', 'your uber', 'uber he', 'the uber', 'call uber', 'lyft']","['he is from an uber pool', 'should we call him an uber?', ""it's not a choice. if your son's an uber, he's an uber.""]"
193,82,193_bonds_in bonds_bonds he_bond,"['bonds', 'in bonds', 'bonds he', 'bond', 'into bonds', 'he should', 'was in', 'should', 'mr bond', 'should have']","['last week he was in bonds.', 'last week he was in bonds.', 'i thought he was in bonds.']"
194,81,194_uncle_your uncle_say uncle_an uncle,"['uncle', 'your uncle', 'say uncle', 'an uncle', 'nephews', 'their uncle', 'uncle sam', 'uncle uncle', 'say', 'sam']","['uncle! uncle! uncle!', 'uncle. uncle!', 'uncle.']"
195,81,195_deliver_he delivers_delivers_don deliver,"['deliver', 'he delivers', 'delivers', 'don deliver', 'delivery', 'he delivered', 'he deliver', 'delivered', 'if he', 'll deliver']","[""i'm sorry, but i don't deliver."", ""we don't deliver."", ""we don't deliver.""]"
196,80,196_max_silence_cone_of silence,"['max', 'silence', 'cone', 'of silence', 'cone of', 'the cone', 'chief', 'cones', 'max max', 'max the']","['really max? the cone of silence?', ""it's not the cone of silence, max."", 'not the cone of silence max.']"
197,80,197_hunter_hunting_deer_the hunter,"['hunter', 'hunting', 'deer', 'the hunter', 'hunt', 'wabbits', 'season', 'hunting wabbits', 'he hunting', 'lookout']","[""not to worry, he's hunting wabbits."", ""maybe he's hunting wabbits."", ""don't worry, he's hunting wabbits.""]"
198,79,198_escher_lemming_lemmings_mr lemming,"['escher', 'lemming', 'lemmings', 'mr lemming', 'mr escher', 'the lemmings', 'named escher', 'lemming is', 'leprechaun', 'mr']","['but...mr. escher...', 'come back, mr. lemming!', 'mr. lemming is here.']"
199,79,199_mannequin_mannequin challenge_challenge_the mannequin,"['mannequin', 'mannequin challenge', 'challenge', 'the mannequin', 'not mannequin', 'man', 'man again', 'eaters', 'that mannequin', 'not']","[""i don't think that's what they meant by 'the mannequin challenge.'"", ""i don't think that's how you do the mannequin challenge."", ""i still don't understand the mannequin challenge.""]"
200,79,200_microwave_fish in_fish_the microwave,"['microwave', 'fish in', 'fish', 'the microwave', 'microwaved', 'microwaved fish', 'he microwaved', 'in the', 'the break', 'break room']","['i heard he put fish in the microwave.', 'he put fish in the microwave.', 'he put fish in the microwave.']"
201,78,201_bruce_tom_burt_wayne,"['bruce', 'tom', 'burt', 'wayne', 'audition', 'coen brothers', 'the coen', 'coen', 'bruce willis', 'willis']","[""one more and we'll be a bruce willis movie."", 'if you think this is so funny go audition for the coen brothers!', 'i used to work for bruce wayne']"
202,77,202_tea_tea sir_for tea_tea for,"['tea', 'tea sir', 'for tea', 'tea for', 'sir', 'sir tea', 'two', 'your tea', 'of tea', 'for two']","['will there be two for tea, sir?', 'will it be two for tea, sir?', 'tea, sir?']"
