Occupation,Job Zone,Code,Synonyms
hydrogeologist,,,[]
hydrographic surveying technician,,,[]
hydrographic surveyor,,,[]
hydrologist,,,['hydrologist']
hydropower engineer,,,[]
hydropower technician,,,[]
ice-skating coach,,,[]
ict accessibility tester,,,[]
ict account manager,,,[]
ict application configurator,,,[]
ict application developer,,,[]
ict auditor manager,,,[]
ict business analysis manager,,,[]
ict business analyst,,,[]
ict business development manager,,,[]
ict buyer,,,[]
ict capacity planner,,,[]
ict change manager,,,[]
ict consultant,,,[]
ict disaster recovery analyst,,,[]
ict documentation manager,,,[]
ict environmental manager,,,[]
ict help desk agent,,,[]
ict help desk manager,,,[]
ict information manager,,,[]
ict integration tester,,,[]
ict network administrator,,,[]
ict network architect,,,[]
ict network engineer,,,[]
ict network technician,,,[]
ict operations manager,,,[]
ict presales engineer,,,[]
ict product manager,,,[]
ict project manager,,,[]
ict quality assurance manager,,,[]
ict research consultant,,,[]
ict research manager,,,[]
ict resilience manager,,,[]
ict security administrator,,,[]
ict security technician,,,[]
ict system administrator,,,[]
ict system analyst,,,[]
ict system architect,,,[]
ict system developer,,,[]
ict system integration consultant,,,[]
ict system tester,,,[]
ict teacher secondary school,,,[]
ict technician,,,[]
ict test analyst,,,[]
ict trainer,,,[]
ict usability tester,,,[]
ict vendor relationship manager,,,[]
idiophone musical instruments maker,,,[]
illustrator,,,['illustrator']
imagesetter,,,[]
immigration adviser,,,[]
immigration officer,,,[]
immigration policy officer,,,[]
immunologist,,,['immunologist']
import export manager,,,[]
import export specialist,,,[]
incinerator operator,,,[]
inclusion manager,,,[]
industrial arts vocational teacher,,,[]
industrial assembly supervisor,,,[]
industrial cook,,,[]
industrial designer,,,[]
industrial electrician,,,[]
industrial engineer,,,[]
industrial engineering technician,,,[]
industrial equipment,,,[]
industrial equipment aircraft,,,[]
industrial equipment distribution manager,,,[]
industrial firefighter,,,[]
industrial machinery assembler,,,[]
industrial machinery mechanic,,,[]
industrial maintenance supervisor,,,[]
industrial mobile devices software developer,,,[]
industrial pharmacist,,,[]
industrial production manager,,,[]
industrial quality manager,,,[]
industrial robot controller,,,[]
industrial tool design engineer,,,[]
industrial waste inspector,,,[]
infantry soldier,,,[]
information manager,,,[]
information security,,,[]
injection moulding operator,,,[]
inland water transport general manager,,,[]
innovation engineer,,,[]
innovation officer,,,[]
installation engineer,,,[]
instructional designer,,,[]
instrument technician,,,[]
instrumentation engineer,,,[]
instrumentation engineering technician,,,[]
insulating tube winder,,,[]
insulation supervisor,,,[]
insulation worker,,,[]
insurance agency manager,,,[]
insurance broker,,,[]
insurance claims handler,,,[]
insurance claims manager,,,[]
insurance clerk,,,[]
insurance collector,,,[]
insurance fraud investigator,,,[]
insurance product manager,,,[]
insurance rating analyst,,,[]
insurance risk consultant,,,[]
insurance underwriter,,,[]
integrated circuit design engineer,,,[]
integration engineer,,,[]
intellectual property consultant,,,[]
intelligence communications interceptor,,,[]
intelligence officer,,,[]
intelligent lighting engineer,,,[]
intercultural communication consultant,,,[]
interior architect,,,[]
interior designer,,,[]
interior landscaper,,,[]
interior planner,,,[]
intermodal logistics manager,,,[]
international forwarding operations coordinator,,,[]
international relations officer,,,[]
international student exchange coordinator,,,[]
interpretation agency manager,,,[]
inventory coordinator,,,[]
investment adviser,,,[]
investment analyst,,,[]
investment clerk,,,[]
investment fund management assistant,,,[]
investment fund manager,,,[]
investment manager,,,[]
investor relations manager,,,[]
iot developer,,,[]
irrigation system installer,,,[]
irrigation technician,,,[]
it auditor,,,[]
jeweller,,,"['jewelry maker', 'jeweler', 'jeweller']"
jewellery assembler,,,[]
jewellery designer,,,[]
jewellery distribution manager,,,[]
jewellery engraver,,,[]
jewellery manager,,,[]
jewellery mounter,,,[]
jewellery polisher,,,[]
jewellery repairer,,,[]
jewellery seller,,,[]
journalism lecturer,,,[]
justice of the peace,,,[]
juvenile correctional officer,,,[]
kennel supervisor,,,[]
kennel worker,,,[]
kettle tender,,,[]
keyboard musical instrument maker,,,[]
kiln firer,,,[]
kinesiologist,,,[]
kitchen assistant,,,[]
kitchen manager,,,[]
kitchen porter,,,[]
kitchen unit installer,,,[]
knitter,,,['knitter']
knitting machine operator,,,[]
knitting machine supervisor,,,[]
knitting textile technician,,,[]
knowledge engineer,,,[]
knowledge manager,,,[]
kosher butcher,,,[]
kosher slaughterer,,,[]
labour market policy officer,,,[]
labour relations officer,,,[]
lacquer maker,,,[]
lacquer spray gun operator,,,[]
laminating machine operator,,,[]
land planner,,,[]
land surveyor,,,[]
land-based machinery operator,,,[]
land-based machinery supervisor,,,[]
land-based machinery technician,,,[]
landfill supervisor,,,[]
landscape architect,,,[]
landscape designer,,,[]
landscape gardener,,,[]
language engineer,,,[]
language school teacher,,,[]
language therapist,,,[]
laser beam welder,,,[]
laser cutting machine operator,,,[]
laser marking machine operator,,,[]
lasting machine operator,,,[]
lathe operator,,,[]
laundromat attendant,,,[]
laundry ironer,,,[]
laundry manager,,,[]
laundry worker,,,[]
laundry workers supervisor,,,[]
law lecturer,,,[]
lawyer linguist,,,[]
leaf sorter,,,[]
leaf tier,,,[]
leaflet distributor,,,[]
lean manager,,,[]
learning mentor,,,[]
learning support teacher,,,[]
leather accessories shop manager,,,[]
leather accessories specialised seller,,,[]
leather finishing operations manager,,,[]
leather finishing operator,,,[]
leather footwear researcher,,,[]
leather goods artisanal worker,,,[]
leather goods cad patternmaker,,,[]
leather goods designer,,,[]
leather goods finishing operator,,,[]
leather goods hand cutting operator,,,[]
leather goods hand stitcher,,,[]
leather goods industrial engineer,,,[]
leather goods machine operator,,,[]
leather goods maintenance technician,,,[]
leather goods manual operator,,,[]
leather goods manufacturing technician,,,[]
leather goods packing operator,,,[]
leather goods patternmaker,,,[]
leather goods product developer,,,[]
leather goods product development manager,,,[]
leather goods production manager,,,[]
leather goods production supervisor,,,[]
leather goods quality control laboratory technician,,,[]
leather goods quality controller,,,[]
leather goods quality manager,,,[]
leather goods quality technician,,,[]
leather goods stitching machine operator,,,[]
leather goods warehouse operator,,,[]
leather laboratory technician,,,[]
leather measuring operator,,,[]
leather production machine operator,,,[]
leather production manager,,,[]
leather production planner,,,[]
leather products distribution manager,,,[]
leather raw materials purchasing manager,,,[]
leather sorter,,,[]
leather wet processing department manager,,,[]
legal administrative assistant,,,[]
legal assistant,,,[]
legal consultant,,,[]
legal guardian,,,[]
legal policy officer,,,[]
legal service manager,,,[]
legislative drafter,,,[]
leisure attendant,,,[]
letting agent,,,[]
level crossing signalperson,,,[]
lexicographer,,,"['lexicologist', 'lexicographer']"
library assistant,,,[]
library manager,,,[]
licensing manager,,,[]
licensing officer,,,[]
lieutenant,,,"['lieutenant', 'deputy', 'police lieutenant']"
life coach,,,[]
life guard,,,[]
lifeguard instructor,,,[]
lift installation supervisor,,,[]
lift technician,,,[]
light board operator,,,[]
light motor vehicles,,,[]
lighting equipment distribution manager,,,[]
lime kiln operator,,,[]
linen room attendant,,,[]
linguistics lecturer,,,[]
liquid fuel engineer,,,[]
liquid waste treatment plant operator,,,[]
liquor blender,,,[]
liquor grinding mill operator,,,[]
literary scholar,,,[]
literature teacher at secondary school,,,[]
lithographer,,,['lithographer']
live animal transporter,,,[]
live animals distribution manager,,,[]
live chat operator,,,[]
livestock advisor,,,[]
livestock worker,,,[]
loan officer,,,[]
localiser,,,[]
location manager,,,[]
locker room attendant,,,[]
locksmith,,,['locksmith']
logistics analyst,,,[]
logistics engineer,,,[]
logistics manager,,,[]
loss adjuster,,,[]
lottery cashier,,,[]
lottery manager,,,[]
lottery operator,,,[]
lumber grader,,,[]
lyricist,,,"['lyrist', 'lyricist']"
machine operator supervisor,,,[]
machinery assembly coordinator,,,[]
machinery assembly supervisor,,,[]
machinery distribution manager,,,[]
made-up textile articles manufacturer,,,[]
magazine editor,,,[]
mail clerk,,,[]
maintenance engineer,,,[]
make-up artist,,,[]
make-up designer,,,[]
malt house supervisor,,,[]
malt kiln operator,,,[]
malt master,,,[]
man-made fiber spinner,,,[]
management assistant,,,[]
manicurist,,,['manicurist']
manufactured wooden building assembler,,,[]
manufacturing cost estimator,,,[]
manufacturing engineer,,,[]
manufacturing facility manager,,,[]
manufacturing manager,,,[]
marine cargo inspector,,,[]
marine chief engineer,,,[]
marine electrician,,,[]
marine electronics technician,,,[]
marine engineer,,,[]
marine engineering drafter,,,[]
marine engineering technician,,,[]
marine firefighter,,,[]
marine fitter,,,[]
marine mechanic,,,[]
marine mechatronics technician,,,[]
marine painter,,,[]
marine surveyor,,,[]
marine upholsterer,,,[]
maritime instructor,,,[]
maritime pilot,,,[]
maritime water transport general manager,,,[]
market research analyst,,,[]
market research interviewer,,,[]
market vendor,,,[]
marketing assistant,,,[]
marketing consultant,,,[]
marketing manager,,,[]
marketing vocational teacher,,,[]
marriage counsellor,,,[]
mask maker,,,[]
massage therapist,,,[]
masseur/masseuse,,,[]
master coffee roaster,,,[]
material stress analyst,,,[]
material testing technician,,,[]
materials engineer,,,[]
materials handler,,,[]
maternity support worker,,,[]
mathematician,,,['mathematician']
mathematics lecturer,,,[]
mathematics teacher at secondary school,,,[]
matrose,,,[]
mattress maker,,,[]
mattress making machine operator,,,[]
mayor,,,"['city manager', 'mayor']"
measures inspector,,,[]
meat cutter,,,[]
meat manager,,,[]
meat preparations operator,,,[]
meat products,,,[]
meat products distribution manager,,,[]
meat products shop manager,,,[]
meat products specialised seller,,,[]
meat seller,,,[]
mechanical engineering drafter,,,[]
mechanical engineering technician,,,[]
mechanical forging press worker,,,[]
mechatronics assembler,,,[]
mechatronics engineer,,,[]
mechatronics engineering technician,,,[]
media integration operator,,,[]
media scientist,,,[]
mediator,,,"['intercessor', 'go-between', 'mediator', 'intermediary', 'intermediator']"
medical administrative assistant,,,[]
medical device assembler,,,[]
medical device engineer,,,[]
medical device engineering technician,,,[]
medical goods shop manager,,,[]
medical goods specialised seller,,,[]
medical laboratory assistant,,,[]
medical laboratory manager,,,[]
medical laboratory technology vocational teacher,,,[]
medical physics expert,,,[]
medical practice manager,,,[]
medical records clerk,,,[]
medical records manager,,,[]
medical sales representative,,,[]
medical transcriptionist,,,[]
medical writer,,,[]
medicine lecturer,,,[]
medium,,,"['spiritualist', 'sensitive', 'medium', 'culture medium', 'metier', 'mass medium']"
member of parliament,,,[]
membership administrator,,,[]
membership manager,,,[]
membranophone musical instruments maker,,,[]
mental health social worker,,,[]
mental health support worker,,,[]
mergers analyst,,,[]
metal additive manufacturing operator,,,[]
metal annealer,,,[]
metal drawing machine operator,,,[]
metal engraver,,,[]
metal furnace operator,,,[]
metal furniture machine operator,,,[]
metal nibbling operator,,,[]
metal ores,,,[]
metal ores distribution manager,,,[]
metal planer operator,,,[]
metal polisher,,,[]
metal product quality control inspector,,,[]
metal production manager,,,[]
metal production supervisor,,,[]
metal products assembler,,,[]
metal rolling mill operator,,,[]
metal sawing machine operator,,,[]
metallurgical manager,,,[]
metallurgical technician,,,[]
metals manager,,,[]
metalworking lathe operator,,,[]
meteorologist,,,['meteorologist']
meteorology technician,,,[]
meter reader,,,[]
metrologist,,,[]
metrology technician,,,[]
microbiologist,,,['microbiologist']
microelectronics designer,,,[]
microelectronics engineer,,,[]
microelectronics engineering technician,,,[]
microelectronics maintenance technician,,,[]
microelectronics materials engineer,,,[]
microelectronics smart manufacturing engineer,,,[]
microsystem engineer,,,[]
microsystem engineering technician,,,[]
middle office analyst,,,[]
midwifery vocational teacher,,,[]
migrant social worker,,,[]
military engineer,,,[]
military welfare worker,,,[]
milk heat treatment process operator,,,[]
milk reception operator,,,[]
milliner,,,"['milliner', 'hatter', 'modiste', 'hatmaker']"
milling machine operator,,,[]
mine control room operator,,,[]
mine development engineer,,,[]
mine electrical engineer,,,[]
mine geologist,,,[]
mine health engineer,,,[]
mine manager,,,[]
mine mechanical engineer,,,[]
mine planning engineer,,,[]
mine production manager,,,[]
mine rescue officer,,,[]
mine safety officer,,,[]
mine shift manager,,,[]
mine supervisor,,,[]
mine surveying technician,,,[]
mine surveyor,,,[]
mine ventilation engineer,,,[]
mineral crushing operator,,,[]
mineral processing engineer,,,[]
mineral processing operator,,,[]
mineralogist,,,['mineralogist']
miniature set designer,,,[]
mining assistant,,,[]
mining distribution manager,,,[]
mining electrician,,,[]
mining equipment mechanic,,,[]
mining geotechnical engineer,,,[]
minister of religion,,,[]
missionary,,,"['missionary', 'missioner']"
mixed farmer,,,[]
mobile application developer,,,[]
mobile crane operator,,,[]
mobile devices technician,,,[]
mobile phone repair technician,,,[]
mobility services manager,,,[]
model maker,,,[]
modern languages lecturer,,,[]
modern languages teacher secondary school,,,[]
molluscs distribution manager,,,[]
monitoring officer,,,[]
monk/nun,,,[]
montessori school teacher,,,[]
mortgage broker,,,[]
mortgage loan underwriter,,,[]
motion picture director,,,[]
motion picture editor,,,[]
motion picture film developer,,,[]
motion picture producer,,,[]
motor vehicle aftersales manager,,,[]
motor vehicle assembler,,,[]
motor vehicle assembly inspector,,,[]
motor vehicle assembly supervisor,,,[]
motor vehicle body assembler,,,[]
motor vehicle engine assembler,,,[]
motor vehicle engine inspector,,,[]
motor vehicle engine tester,,,[]
motor vehicle parts assembler,,,[]
motor vehicle shop manager,,,[]
motor vehicle upholsterer,,,[]
motor vehicles parts advisor,,,[]
motor vehicles specialised seller,,,[]
motorcycle assembler,,,[]
motorcycle delivery person,,,[]
motorcycle instructor,,,[]
moulding machine operator,,,[]
moulding machine technician,,,[]
mouldmaker,,,[]
mountain guide,,,[]
move coordinator,,,[]
move manager,,,[]
mover,,,"['removal firm', 'public mover', 'mover', 'proposer', 'removal company', 'moving company']"
movie distributor,,,[]
moving truck driver,,,[]
mud logger,,,[]
multimedia seller,,,[]
multimedia shop manager,,,[]
museum director,,,[]
museum scientist,,,[]
music arranger,,,[]
music director,,,[]
music instructor,,,[]
music manager,,,[]
music producer,,,[]
music seller,,,[]
music teacher,,,[]
music teacher secondary school,,,[]
music therapist,,,[]
musical conductor,,,[]
musical instrument technician,,,[]
musician,,,"['musician', 'instrumentalist', 'player']"
mutual fund broker,,,[]
nailing machine operator,,,[]
nanny,,,"['nurse', 'nanny-goat', 'nanny', 'nursemaid', 'she-goat']"
nanoengineer,,,[]
natural resources consultant,,,[]
nature conservation officer,,,[]
naval architect,,,[]
navy officer,,,[]
network marketer,,,[]
news anchor,,,[]
newspaper editor,,,[]
night auditor,,,[]
nitrator operator,,,[]
nitroglycerin neutraliser,,,[]
nitroglycerin separator operator,,,[]
non-destructive testing specialist,,,[]
non-vessel operating common carrier,,,[]
nonwoven filament machine operator,,,[]
nonwoven staple machine operator,,,[]
nonwoven textile technician,,,[]
notary,,,"['notary public', 'notary']"
nuclear medicine radiographer,,,[]
nuclear reactor operator,,,[]
nuclear technician,,,[]
numerical tool programmer,,,[]
nurse assistant,,,[]
nurse responsible for general care,,,[]
nursery school head teacher,,,[]
nursing lecturer,,,[]
occupational analyst,,,[]
occupational driving instructor,,,[]
occupational health inspector,,,[]
occupational railway instructor,,,[]
occupational therapist,,,[]
occupational therapy assistant,,,[]
oceanographer,,,['oceanographer']
odds compiler,,,[]
oenologist,,,"['fermentologist', 'enologist', 'oenologist']"
office clerk,,,[]
office equipment repair technician,,,[]
office manager,,,[]
officer of the watch,,,[]
official veterinarian,,,[]
offset printer,,,[]
offshore renewable energy engineer,,,[]
offshore renewable energy plant operator,,,[]
offshore renewable energy technician,,,[]
oil manager,,,[]
oil mill operator,,,[]
oil refinery control room operator,,,[]
oil rig motorhand,,,[]
oilseed presser,,,[]
ombudsman,,,['ombudsman']
on foot aquatic resources collector,,,[]
online community manager,,,[]
online marketer,,,[]
online sales channel manager,,,[]
onshore wind energy engineer,,,[]
onshore wind farm technician,,,[]
operations manager,,,[]
optical disc moulding machine operator,,,[]
optical engineer,,,[]
optical equipment shop manager,,,[]
optical equipment specialised seller,,,[]
optical instrument assembler,,,[]
optical instrument production supervisor,,,[]
optical instrument repairer,,,[]
optical technician,,,[]
optician,,,"['optician', 'lens maker']"
optoelectronic engineer,,,[]
optoelectronic engineering technician,,,[]
optomechanical engineer,,,[]
optomechanical engineering technician,,,[]
optometrist,,,"['oculist', 'optometrist']"
ordinary seaman,,,[]
organ builder,,,[]
ornamental metal worker,,,[]
orthopaedic footwear technician,,,[]
orthopaedic supplies specialised seller,,,[]
orthopaedic supply shop manager,,,[]
orthoptist,,,['orthoptist']
other glassware,,,[]
outdoor accessories shop manager,,,[]
outdoor activities coordinator,,,[]
outdoor activities instructor,,,[]
outdoor animator,,,[]
overhead line worker,,,[]
oxy fuel burning machine operator,,,[]
packaging operator,,,[]
packaging production manager,,,[]
packing machinery engineer,,,[]
packing operator,,,[]
paint mixer,,,[]
paint shop manager,,,[]
paint specialised seller,,,[]
palaeontologist,,,"['paleontologist', 'palaeontologist', 'fossilist']"
palliative care social worker,,,[]
paper bag machine operator,,,[]
paper cutter operator,,,[]
paper embossing press operator,,,[]
paper engineer,,,[]
paper machine operator,,,[]
paper mill supervisor,,,[]
paper pulp moulding operator,,,[]
paper stationery machine operator,,,[]
paperboard products assembler,,,[]
paperhanger supervisor,,,[]
park guide,,,[]
parking valet,,,[]
parliamentary assistant,,,[]
passenger fare controller,,,[]
passport officer,,,[]
pasta maker,,,[]
pasta operator,,,[]
pastoral worker,,,[]
pastry chef,,,[]
pastry maker,,,[]
patent engineer,,,[]
patient transport services driver,,,[]
pawnbroker,,,['pawnbroker']
payroll clerk,,,[]
pedicurist,,,[]
pension scheme manager,,,[]
pensions administrator,,,[]
performance artist,,,[]
performance flying director,,,[]
performance hairdresser,,,[]
performance lighting designer,,,[]
performance lighting director,,,[]
performance lighting technician,,,[]
performance production manager,,,[]
performance rental technician,,,[]
performance video designer,,,[]
performance video operator,,,[]
performing arts school dance instructor,,,[]
performing arts theatre instructor,,,[]
perfume manager,,,[]
perfume production machine operator,,,[]
perfume shop manager,,,[]
perfume specialised seller,,,[]
peripheral equipment software,,,[]
personal property appraiser,,,[]
personal shopper,,,[]
personal stylist,,,[]
personal trainer,,,[]
personal trust officer,,,[]
pest management worker,,,[]
pesticide mixer,,,[]
pesticides sprayer,,,[]
pet food shop manager,,,[]
pet food specialised seller,,,[]
pet manager,,,[]
pet seller,,,[]
pet sitter,,,[]
petroleum engineer,,,[]
petroleum pump system operator,,,[]
pharmaceutical engineer,,,[]
pharmaceutical goods distribution manager,,,[]
pharmaceutical quality specialist,,,[]
pharmacologist,,,"['pharmacologist', 'pharmaceutical chemist']"
pharmacy assistant,,,[]
pharmacy lecturer,,,[]
pharmacy technician,,,[]
philosophy lecturer,,,[]
philosophy teacher secondary school,,,[]
phlebotomist,,,['phlebotomist']
photographic developer,,,[]
photographic equipment assembler,,,[]
photography shop manager,,,[]
photography teacher,,,[]
photojournalist,,,['photojournalist']
photonics engineer,,,[]
photonics engineering technician,,,[]
physical education teacher secondary school,,,[]
physical education vocational teacher,,,[]
physicist,,,['physicist']
physics lecturer,,,[]
physics teacher secondary school,,,[]
physics technician,,,[]
physiologist,,,['physiologist']
physiotherapy assistant,,,[]
piano maker,,,[]
picture archiving administrator,,,[]
picture editor,,,[]
pig breeder,,,[]
pilates teacher,,,[]
pile driving hammer operator,,,[]
pill maker operator,,,[]
pipe welder,,,[]
pipeline compliance coordinator,,,[]
pipeline engineer,,,[]
pipeline environmental project manager,,,[]
pipeline maintenance worker,,,[]
pipeline pump operator,,,[]
pipeline route manager,,,[]
pipeline superintendent,,,[]
pizzaiolo,,,[]
planer thicknesser operator,,,[]
plants distribution manager,,,[]
plasma cutting machine operator,,,[]
plasterer,,,['plasterer']
plastering supervisor,,,[]
plastic furniture machine operator,,,[]
plastic heat treatment equipment operator,,,[]
plastic products assembler,,,[]
plastic rolling machine operator,,,[]
plastic supervisor,,,[]
plate glass installer,,,[]
plodder operator,,,[]
plumber,,,"['pipe fitter', 'plumber']"
plumbing heating equipment,,,[]
plumbing manager,,,[]
plumbing supervisor,,,[]
plumbing supplies,,,[]
pneumatic engineering technician,,,[]
pneumatic systems technician,,,[]
podcast producer,,,[]
podiatrist,,,"['chiropodist', 'foot doctor', 'podiatrist']"
podiatry assistant,,,[]
police commissioner,,,[]
police detective,,,[]
police inspector,,,[]
police officer,,,[]
police trainer,,,[]
policy manager,,,[]
policy officer,,,[]
political affairs officer,,,[]
political campaign officer,,,[]
political journalist,,,[]
political party agent,,,[]
political scientist,,,[]
politics lecturer,,,[]
polygraph examiner,,,[]
porcelain caster,,,[]
porcelain painter,,,[]
port coordinator,,,[]
post office counter clerk,,,[]
post-production supervisor,,,[]
postman/postwoman,,,[]
pottery caster,,,[]
poultry breeder,,,[]
poultry sexer,,,[]
power distribution engineer,,,[]
power electronics engineer,,,[]
power lines supervisor,,,[]
power plant control room operator,,,[]
power plant manager,,,[]
power production plant operator,,,[]
power tool repair technician,,,[]
powertrain engineer,,,[]
pre-lasting operator,,,[]
pre-stitching machine operator,,,[]
precast moulder,,,[]
precious stone cutter,,,[]
precious stone setter,,,[]
precision device inspector,,,[]
precision engineer,,,[]
precision instrument assembler,,,[]
precision mechanic,,,[]
precision mechanics supervisor,,,[]
predictive maintenance expert,,,[]
prepared meals nutritionist,,,[]
prepared meat operator,,,[]
prepress operator,,,[]
prepress technician,,,[]
presenter,,,"['giver', 'bestower', 'presenter', 'sponsor', 'donor', 'conferrer']"
press manager,,,[]
press seller,,,[]
pricing specialist,,,[]
primary school head teacher,,,[]
primary school teacher,,,[]
primary school teaching assistant,,,[]
print folding operator,,,[]
print studio supervisor,,,[]
printed circuit board assembler,,,[]
printed circuit board designer,,,[]
printed circuit board test technician,,,[]
printing textile technician,,,[]
printmaker,,,"['graphic artist', 'printmaker']"
prison instructor,,,[]
prison officer,,,[]
private chauffeur,,,[]
private chef,,,[]
private detective,,,[]
private pilot,,,[]
probation officer,,,[]
process control programmer,,,[]
process engineer,,,[]
process engineering technician,,,[]
process metallurgist,,,[]
process officer,,,[]
procurement category specialist,,,[]
procurement department manager,,,[]
procurement support officer,,,[]
product assembly inspector,,,[]
product development engineering drafter,,,[]
product development engineering technician,,,[]
product development manager,,,[]
product grader,,,[]
product manager,,,[]
product quality controller,,,[]
product quality inspector,,,[]
production designer,,,[]
production engineer,,,[]
production engineering technician,,,[]
production plant crane operator,,,[]
production potter,,,[]
production supervisor,,,[]
professional athlete,,,[]
programme funding manager,,,[]
programme manager,,,[]
project manager,,,[]
project support officer,,,[]
projectionist,,,['projectionist']
promoter,,,"['booster', 'impresario', 'promoter', 'plugger', 'showman']"
promotion assistant,,,[]
promotion manager,,,[]
promotions demonstrator,,,[]
prompter,,,"['prompter', 'theater prompter', 'autocue']"
proofreader,,,"['reader', 'proofreader']"
prop maker,,,[]
prop master/prop mistress,,,[]
property acquisitions manager,,,[]
property appraiser,,,[]
property assistant,,,[]
property developer,,,[]
property insurance underwriter,,,[]
prosecutor,,,"['public prosecutor', 'prosecuting attorney', 'prosecuting officer', 'prosecutor']"
prosthetic-orthotics technician,,,[]
prosthetist-orthotist,,,[]
protection engineer,,,[]
protective clothing apparel manufacturer,,,[]
psychic,,,['psychic']
psychology lecturer,,,[]
psychotherapist,,,"['psychotherapist', 'clinical psychologist']"
public administration manager,,,[]
public affairs consultant,,,[]
public employment service manager,,,[]
public finance accountant,,,[]
public funding advisor,,,[]
public health policy officer,,,[]
public housing manager,,,[]
public procurement specialist,,,[]
public relations manager,,,[]
public relations officer,,,[]
public speaking coach,,,[]
publications coordinator,,,[]
publishing rights manager,,,[]
pulp control operator,,,[]
pulp grader,,,[]
pulp technician,,,[]
pultrusion machine operator,,,[]
pump operator,,,[]
punch press operator,,,[]
puppet designer,,,[]
puppeteer,,,['puppeteer']
purchase planner,,,[]
purchaser,,,"['emptor', 'vendee', 'buyer', 'purchaser']"
purchasing manager,,,[]
pyrotechnic designer,,,[]
pyrotechnician,,,[]
pyrotechnics drying room attendant,,,[]
quality engineer,,,[]
quality engineering technician,,,[]
quality services manager,,,[]
quantity surveyor,,,[]
quarry engineer,,,[]
quarry manager,,,[]
quick service restaurant crew member,,,[]
quick service restaurant team leader,,,[]
race track operator,,,[]
radiation protection officer,,,[]
radiation protection technician,,,[]
radiation therapist,,,[]
radio producer,,,[]
radio technician,,,[]
rail construction supervisor,,,[]
rail intermodal equipment operator,,,[]
rail layer,,,[]
rail logistics coordinator,,,[]
rail maintenance technician,,,[]
rail operations manager,,,[]
rail project engineer,,,[]
rail switchperson,,,[]
rail traffic controller,,,[]
railway car upholsterer,,,[]
railway electronic technician,,,[]
railway infrastructure inspector,,,[]
railway passenger service agent,,,[]
railway sales agent,,,[]
railway station manager,,,[]
raw material reception operator,,,[]
raw materials distribution manager,,,[]
raw materials warehouse specialist,,,[]
real estate agent,,,[]
real estate investor,,,[]
real estate leasing manager,,,[]
real estate manager,,,[]
real estate surveyor,,,[]
record press operator,,,[]
recording studio technician,,,[]
recreation attendant,,,[]
recreation model maker,,,[]
recreation policy officer,,,[]
recreational facilities manager,,,[]
recreational therapist,,,[]
recruitment consultant,,,[]
recycling specialist,,,[]
recycling worker,,,[]
refinery shift manager,,,[]
refining machine operator,,,[]
refrigeration air condition technician,,,[]
refrigeration engineering technician,,,[]
refurbishing technician,,,[]
refuse collector,,,[]
refuse vehicle driver,,,[]
regional development policy officer,,,[]
regulatory affairs manager,,,[]
rehabilitation support worker,,,[]
relationship banking manager,,,[]
religion scientific researcher,,,[]
religious education teacher at secondary school,,,[]
religious studies lecturer,,,[]
relocation officer,,,[]
remote sensing technician,,,[]
renewable energy consultant,,,[]
renewable energy engineer,,,[]
renewable energy sales representative,,,[]
rental manager,,,[]
rental service representative,,,[]
repair engineer,,,[]
reprographics technician,,,[]
rescue centre manager,,,[]
rescue diver,,,[]
research engineer,,,[]
research manager,,,[]
residential childcare worker,,,[]
residential home adult care worker,,,[]
residential home older adult care worker,,,[]
residential home young people care worker,,,[]
resilient floor layer,,,[]
resource manager,,,[]
respiratory therapy technician,,,[]
restaurant host/restaurant hostess,,,[]
restaurant manager,,,[]
retail department manager,,,[]
retail entrepreneur,,,[]
rewinding operator,,,[]
rigging supervisor,,,[]
riveter,,,"['riveter', 'rivetter', 'riveting machine']"
road construction supervisor,,,[]
road construction worker,,,[]
road maintenance technician,,,[]
road maintenance worker,,,[]
road marker,,,[]
road operations manager,,,[]
road roller operator,,,[]
road sign installer,,,[]
road transport division manager,,,[]
road transport maintenance scheduler,,,[]
roadside vehicle technician,,,[]
robotics engineer,,,[]
robotics engineering technician,,,[]
rolling stock assembler,,,[]
rolling stock assembly inspector,,,[]
rolling stock assembly supervisor,,,[]
rolling stock electrician,,,[]
rolling stock engine inspector,,,[]
rolling stock engine tester,,,[]
rolling stock engineer,,,[]
rolling stock engineering drafter,,,[]
rolling stock engineering technician,,,[]
rolling stock inspector,,,[]
roofer,,,['roofer']
roofing supervisor,,,[]
room attendant,,,[]
rooms division manager,,,[]
rotating equipment engineer,,,[]
rotating equipment mechanic,,,[]
roughneck,,,"['yobo', 'yobbo', 'rowdy', 'roughneck', 'ruffian', 'yob', 'tough', 'bully', 'hooligan']"
roustabout,,,"['roustabout', 'deckhand']"
router operator,,,[]
rubber cutting machine tender,,,[]
rubber dipping machine operator,,,[]
rubber goods assembler,,,[]
rubber products machine operator,,,[]
rubber products manufacturing supervisor,,,[]
rubber technologist,,,[]
rustproofer,,,[]
répétiteur,,,[]
safety engineer,,,[]
safety inspector,,,[]
safety officer,,,[]
sales account manager,,,[]
sales assistant,,,[]
sales engineer,,,[]
sales manager,,,[]
sales processor,,,[]
sales support assistant,,,[]
satellite engineer,,,[]
sauce production operator,,,[]
sawmill operator,,,[]
scanning operator,,,[]
scenery technician,,,[]
scenic painter,,,[]
school bus attendant,,,[]
science teacher secondary school,,,[]
scientific laboratory technician,,,[]
scopist,,,[]
